ride_id,driver_name,passenger_name,pickup_city,dropoff_city,fare_amount,ride_distance_km,ride_status,requested_at,completed_at,rating,payment_method
1,Anita Rai,Dipesh Oli,Chitwan,Bhaktapur,462.04,6.95,no_show,2024-01-04 01:03:53,,,card
2,Sita Tamang,Bina Ghimire,Pokhara,Kathmandu,300.0,35.15,cancelled,2024-12-23 08:44:17,,,
3,Suresh Magar,Sanjay Maharjan,Hetauda,Kathmandu,493.19,35.77,completed,2024-04-07 07:26:37,2024-04-07 08:05:37.701605,3.1,cash
4,Anita Rai,Meena Adhikari,Pokhara,Hetauda,578.05,20.78,completed,2024-02-04 12:52:35,2024-02-04 13:50:12.306000,4.3,card
5,Priya Gurung,Meena Adhikari,Chitwan,Kirtipur,691.99,40.82,completed,2024-12-24 19:52:17,2024-12-24 20:49:20.689434,4.7,khalti
6,Priya Gurung,Kavya Poudel,Lalitpur,Hetauda,141.42,32.18,cancelled,2024-10-15 23:44:36,,,cash
7,deepak thapa,Ashok Neupane,Lalitpur,Pokhara,530.04,30.16,completed,2024-06-04 10:13:02,2024-06-04 11:04:19.703193,4.8,esewa
8,Bikash Karki,Prem Basnet,Butwal,Lalitpur,775.9,41.2,completed,2024-02-11 21:51:55,2024-02-11 22:17:27.341407,4.7,cash
9,deepak thapa,Suman Giri,Kathmandu,Chitwan,270.42,17.22,completed,2024-05-13 19:36:40,2024-05-13 20:15:43.315261,3.0,cash
10,Bikash Karki,Pratima Hamal,Chitwan,Biratnagar,133.57,14.88,cancelled,2024-11-10 07:00:00,,,cash
11,Nisha Bista,Meena Adhikari,Bhaktapur,Biratnagar,655.38,41.22,cancelled,2024-11-12 16:26:09,,,
12,Deepak Thapa,Arun Joshi,Lalitpur,Lalitpur,550.91,16.19,completed,2024-09-10 16:49:03,2024-09-10 17:33:16.843388,4.1,card
13,ramesh shrestha,Suman Giri,Pokhara,Biratnagar,733.36,36.69,cancelled,2024-03-20 06:55:36,,,cash
14,Nisha Bista,Kavya Poudel,Chitwan,Butwal,2716.27,31.39,cancelled,2024-09-03 17:38:21,,,
15,Ramesh Shrestha,Kavya Poudel,Kirtipur,Hetauda,683.58,44.65,cancelled,2024-11-30 12:12:13,,,cash
16,Ramesh Shrestha,Niraj Acharya,Lalitpur,Kathmandu,325.78,20.78,completed,2024-09-21 14:59:32,2024-09-21 16:11:19.479273,3.3,card
17,Bikash Karki,Ashok Neupane,Hetauda,Pokhara,734.39,11.93,cancelled,2024-12-17 13:16:20,,,cash
18,Kabita Lama,Sabina Dahal,Butwal,Butwal,242.24,26.49,completed,2024-09-17 12:01:45,2024-09-17 13:09:09.756791,4.9,esewa
19,Suresh Magar,Meena Adhikari,Kirtipur,Hetauda,798.15,4.18,completed,2024-12-21 01:34:28,2024-12-21 02:19:34.490935,3.4,cash
20,Sita Tamang,Rekha Tiwari,Hetauda,Butwal,282.69,41.79,completed,2024-05-24 11:11:31,2024-05-24 12:12:41.399639,3.8,esewa
21,Kabita Lama,Sanjay Maharjan,Lalitpur,Pokhara,163.85,16.69,completed,2024-09-28 21:52:16,2024-09-28 22:16:10.807196,,esewa
